#
# Lista de municipios de las 32 entidades federativas
# Fuente: Instituto Nacional de Estadística y Geografía (INEGI)
# Enlace: http://www.inegi.org.mx/geo/contenidos/geoestadistica/catalogoclaves.aspx
#

#
# Palabras y letras removidas: "de", "del", "el", "gran", "la", "las", "los", "san", "santa", "santo", "y"
#

#
Unión				#Unión Juárez
Venustiano			#Venustiano Carranza
Corzo				#Villa Corzo
Villaflores			#Villaflores
Yajalón				#Yajalón
Lucas				#San Lucas
Zinacantán			#Zinacantán
Cancuc				#San Juan Cancuc
Aldama				#Aldama
Benemérito			#Benemérito de las Américas
Américas			#Benemérito de las Américas
Maravilla			#Maravilla Tenejapa
Tenejapa			#Maravilla Tenejapa
Marqués				#Marqués de Comillas
Comillas			#Marqués de Comillas
Montecristo			#Montecristo de Guerrero
Andrés				#San Andrés Duraznal
Duraznal			#San Andrés Duraznal
Santiago			#Santiago el Pinar
Pinar				#Santiago el Pinar

#
# [08] Chihuahua
#

Ahumada				#Ahumada
Aldama				#Aldama
Allende				#Allende
Aquiles				#Aquiles Serdán
Serdán				#Aquiles Serdán
Ascensión			#Ascensión
Bachíniva			#Bachíniva
Balleza				#Balleza
Batopilas			#Batopilas de Manuel Gómez Morín
Morín				#Batopilas de Manuel Gómez Morín
Bocoyna				#Bocoyna
Buenaventura			#Buenaventura
Camargo				#Camargo
Carichí				#Carichí
Casas				#Casas Grandes
Grandes				#Casas Grandes
Coronado			#Coronado
Coyame				#Coyame del Sotol
Sotol				#Coyame del Sotol
Cruz				#La Cruz
Cuauhtémoc			#Cuauhtémoc
Cusihuiriachi			#Cusihuiriachi
Chihuahua			#Chihuahua
Chínipas			#Chínipas
Delicias			#Delicias
Belisario			#Dr. Belisario Domínguez
Domínguez			#Dr. Belisario Domínguez
Galeana				#Galeana
Isabel				#Santa Isabel
Gómez				#Gómez Farías
Farías				#Gómez Farías
Morelos				#Gran Morelos
Guachochi			#Guachochi
Guadalupe			#Guadalupe
Calvo				#Guadalupe y Calvo
Guazapares			#Guazapares
Guerrero			#Guerrero
Parral				#Hidalgo del Parral
Huejotitán			#Huejotitán
Ignacio				#Ignacio Zaragoza
Janos				#Janos
Jiménez				#Jiménez
Juárez				#Juárez
Julimes				#Julimes
López				#López
Madera				#Madera
Maguarichi			#Maguarichi
Manuel				#Manuel Benavides
Benavides			#Manuel Benavides
Matachí				#Matachí
Matamoros			#Matamoros
Meoqui				#Meoqui
Morelos				#Morelos
Moris				#Moris
Namiquipa			#Namiquipa
Nonoava				#Nonoava
Nuevo				#Nuevo Casas Grandes
Ocampo				#Ocampo
Ojinaga				#Ojinaga
Praxedis			#Praxedis G. Guerrero
Riva				#Riva Palacio
Palacio				#Riva Palacio
Rosales				#Rosales
Rosario				#Rosario
Borja				#San Francisco de Borja
Conchos				#San Francisco de Conchos
Oro				#San Francisco del Oro
Bárbara				#Santa Bárbara
Satevó				#Satevó
Saucillo			#Saucillo
Temósachic			#Temósachic
Tule				#El Tule
Urique				#Urique
Uruachi				#Uruachi
Valle				#Valle de Zaragoza

#
# [09] Ciudad de México
#

Azcapotzalco			#Azcapotzalco
Coyoacán			#Coyoacán
Cuajimalpa			#Cuajimalpa de Morelos
Gustavo				#Gustavo A. Madero
Iztacalco			#Iztacalco
Iztapalapa			#Iztapalapa
Magdalena			#La Magdalena Contreras
Contreras			#La Magdalena Contreras
Milpa				#Milpa Alta
Alta				#Milpa Alta
Álvaro				#Álvaro Obregón
Obregón				#Álvaro Obregón
Tláhuac				#Tláhuac
Tlalpan				#Tlalpan
Xochimilco			#Xochimilco
Benito				#Benito Juárez
Cuauhtémoc			#Cuauhtémoc
Miguel				#Miguel Hidalgo
Carranza			#Venustiano Carranza

#
# [10] Durango
#

Canatlán			#Canatlán
Canelas				#Canelas
Coneto				#Coneto de Comonfort
Comonfort			#Coneto de Comonfort
Cuencamé			#Cuencamé
Durango				#Durango
Simón				#General Simón Bolívar
Bolívar				#General Simón Bolívar
Palacio				#Gómez Palacio
Guadalupe			#Guadalupe Victoria
Victoria			#Guadalupe Victoria
Guanaceví			#Guanaceví
Hidalgo				#Hidalgo
Indé				#Indé
Lerdo				#Lerdo
Mapimí				#Mapimí
Mezquital			#Mezquital
Nazas				#Nazas
Nombre				#Nombre de Dios
Dios				#Nombre de Dios
Ocampo				#Ocampo
Oro				#El Oro
Otáez				#Otáez
Pánuco				#Pánuco de Coronado
Coronado			#Pánuco de Coronado
Peñón				#Peñón Blanco
Poanas				#Poanas
Pueblo				#Pueblo Nuevo
Rodeo				#Rodeo
Bernardo			#San Bernardo
Dimas				#San Dimas
Guadalupe			#San Juan de Guadalupe
Río				#San Juan del Río
Luis				#San Luis del Cordero
Cordero				#San Luis del Cordero
Gallo				#San Pedro del Gallo
Clara				#Santa Clara
Papasquiaro			#Santiago Papasquiaro
Súchil				#Súchil
Tamazula			#Tamazula
Tepehuanes			#Tepehuanes
Tlahualilo			#Tlahualilo
Topia				#Topia
Vicente				#Vicente Guerrero
